<><><><><><><><> 
Begin: 27-Jan-2014 11:49:50 
0.316 0.908 0.908 
0.918 1.357 1.357 
0.684 0.810 0.810 
0.868 1.226 1.226 
0.366 0.810 0.810 
0.917 1.664 1.664 
0.383 1.719 1.719 
0.602 3.163 3.163 
0.851 1.214 1.214 
0.451 1.674 1.674 
0.768 1.160 1.160 
0.750 1.641 1.641 
0.451 1.105 1.105 
0.883 1.872 1.872 
0.484 1.314 1.314 
0.300 0.646 0.646 
0.335 0.558 0.558 
0.734 2.100 2.100 
0.317 0.821 0.821 
0.266 1.456 1.456 
0.518 0.985 0.985 
0.451 1.433 1.433 
0.535 2.834 2.834 
0.216 0.820 0.820 
0.635 1.773 1.773 
0.801 1.050 1.050 
0.684 0.680 0.680 
0.417 0.952 0.952 
0.435 0.744 0.744 
1.000 1.357 1.357 
0.650 0.722 0.722 
0.769 0.919 0.919 
0.283 0.842 0.842 
0.351 0.810 0.810 
0.685 1.335 1.335 
0.868 0.995 0.995 
0.551 1.117 1.117 
0.968 0.733 0.733 
0.585 0.755 0.755 
0.801 1.851 1.851 
0.969 1.160 1.160 
0.250 0.679 0.679 
0.651 0.810 0.810 
0.434 0.897 0.897 
0.484 0.744 0.744 
0.533 0.635 0.635 
0.234 0.875 0.875 
0.751 1.313 1.313 
0.384 0.832 0.832 
0.968 0.788 0.788 
0.500 1.259 1.259 
0.735 0.733 0.733 
0.350 0.854 0.854 
0.902 0.920 0.920 
0.883 0.798 0.798 
0.951 0.777 0.777 
0.601 0.679 0.679 
0.501 1.007 1.007 
0.401 1.968 1.968 
0.717 2.155 2.155 
0.717 1.357 1.357 
0.785 2.310 2.310 
0.467 0.952 0.952 
0.968 0.941 0.941 
0.917 0.679 0.679 
0.551 0.843 0.843 
0.383 0.711 0.711 
0.968 1.522 1.522 
0.901 1.379 1.379 
1.001 1.655 1.655 
0.683 1.555 1.555 
0.517 1.227 1.227 
0.984 0.745 0.745 
0.967 1.109 1.109 
0.918 1.480 1.480 
0.251 0.744 0.744 
0.283 1.862 1.862 
0.918 0.809 0.809 
0.500 1.149 1.149 
0.216 1.608 1.608 
0.350 0.952 0.952 
0.951 0.811 0.811 
0.384 0.789 0.789 
0.301 1.215 1.215 
0.666 1.567 1.567 
0.585 1.194 1.194 
0.852 0.646 0.646 
0.467 1.270 1.270 
0.451 1.827 1.827 
0.785 1.444 1.444 
0.434 0.788 0.788 
0.435 0.787 0.787 
0.568 0.985 0.985 
0.517 1.172 1.172 
0.967 1.226 1.226 
0.335 0.743 0.743 
0.902 0.745 0.745 
0.200 0.668 0.668 
0.901 0.711 0.711 
0.801 0.721 0.721 
0.234 0.482 0.482 
0.701 1.345 1.345 
0.651 0.615 0.615 
0.634 1.138 1.138 
0.801 1.259 1.259 
0.450 2.166 2.166 
0.818 1.818 1.818 
0.218 1.336 1.336 
0.750 2.933 2.933 
0.901 0.996 0.996 
0.967 1.936 1.936 
0.284 0.766 0.766 
0.768 0.887 0.887 
0.502 0.700 0.700 
0.852 0.635 0.635 
0.233 0.942 0.942 
0.634 0.537 0.537 
0.452 0.515 0.515 
0.350 1.699 1.699 
0.717 0.711 0.711 
1.001 1.709 1.709 
0.234 1.171 1.171 
0.400 1.160 1.160 
0.351 1.096 1.096 
0.550 1.105 1.105 
0.367 1.621 1.621 
0.300 1.018 1.018 
0.399 0.603 0.603 
0.801 1.554 1.554 
<><><><><><><><> 
Response (Std deviation):  2.43 
RT (mean):  1.32 
Consistency:  0.89 
<><><><><><><><> 
End: 27-Jan-2014 11:57:42 
