<><><><><><><><> 
Begin: 27-Jan-2014 11:35:36 
0.317 3.516 3.516 
0.918 1.772 1.772 
0.685 0.952 0.952 
0.868 0.723 0.723 
0.368 1.576 1.576 
0.917 1.641 1.641 
0.384 2.485 2.485 
0.601 1.018 1.018 
0.852 1.968 1.968 
0.466 1.019 1.019 
0.769 0.975 0.975 
0.750 1.115 1.115 
0.451 1.533 1.533 
0.884 1.126 1.126 
0.483 2.320 2.320 
0.300 1.291 1.291 
0.334 1.225 1.225 
0.734 1.072 1.072 
0.317 0.897 0.897 
0.251 0.952 0.952 
0.517 3.884 3.884 
0.450 4.004 4.032 
0.533 1.040 1.040 
0.218 2.385 2.385 
0.634 2.903 2.903 
0.801 0.853 0.853 
0.683 1.937 1.937 
0.416 1.760 1.760 
0.435 2.835 2.835 
1.001 1.916 1.916 
0.650 3.271 3.271 
0.769 1.928 1.928 
0.285 0.897 0.897 
0.349 2.759 2.759 
0.685 1.172 1.172 
0.868 0.854 0.854 
0.552 0.580 0.580 
0.983 1.007 1.007 
0.585 1.949 1.949 
0.800 0.701 0.701 
0.968 0.755 0.755 
0.251 2.199 2.199 
0.650 1.093 1.093 
0.434 0.930 0.930 
0.484 2.254 2.254 
0.535 1.588 1.588 
0.234 0.634 0.634 
0.750 0.635 0.635 
0.384 1.959 1.959 
0.967 1.193 1.193 
0.500 2.190 2.190 
0.734 2.319 2.319 
0.350 1.686 1.686 
0.901 3.392 3.392 
0.884 1.203 1.203 
0.952 2.024 2.024 
0.602 1.237 1.237 
0.501 1.981 1.981 
0.399 2.167 2.167 
0.717 3.085 3.085 
0.718 1.149 1.149 
0.784 0.701 0.701 
0.467 2.277 2.277 
0.967 2.013 2.013 
0.919 3.490 3.490 
0.550 0.976 0.976 
0.384 2.093 2.093 
0.969 1.620 1.620 
0.901 1.500 1.500 
1.001 2.178 2.178 
0.684 1.751 1.751 
0.517 0.887 0.887 
0.985 1.828 1.828 
0.967 1.566 1.566 
0.918 3.438 3.438 
0.251 2.768 2.768 
0.267 0.591 0.591 
0.934 2.834 2.834 
0.499 1.194 1.194 
0.216 1.829 1.829 
0.350 0.701 0.701 
0.953 1.128 1.128 
0.385 1.532 1.532 
0.301 1.030 1.030 
0.667 0.831 0.831 
0.584 0.493 0.493 
0.852 1.794 1.794 
0.468 1.360 1.360 
0.450 1.150 1.150 
0.783 1.283 1.283 
0.434 1.597 1.597 
0.433 3.043 3.043 
0.568 1.379 1.379 
0.517 0.613 0.613 
0.968 0.646 0.646 
0.334 0.887 0.887 
0.901 0.755 0.755 
0.200 3.174 3.174 
0.900 1.061 1.061 
0.802 1.664 1.664 
0.235 0.951 0.951 
0.701 0.919 0.919 
0.651 0.657 0.657 
0.634 2.507 2.507 
0.802 0.765 0.765 
0.451 1.335 1.335 
0.818 0.941 0.941 
0.218 2.407 2.407 
0.751 1.324 1.324 
0.901 1.446 1.446 
0.969 1.281 1.281 
0.285 2.190 2.190 
0.767 1.533 1.533 
0.501 1.039 1.039 
0.852 1.040 1.040 
0.234 3.701 3.701 
0.634 3.709 3.709 
0.451 2.080 2.080 
0.350 1.695 1.695 
0.718 1.368 1.368 
1.001 1.620 1.620 
0.235 2.924 2.924 
0.400 1.411 1.411 
0.351 0.646 0.646 
0.551 1.205 1.205 
0.367 1.686 1.686 
0.300 2.101 2.101 
0.400 1.489 1.489 
0.801 1.477 1.477 
<><><><><><><><> 
Response (Std deviation):  2.43 
RT (mean):  1.75 
Consistency:  0.90 
<><><><><><><><> 
End: 27-Jan-2014 11:45:11 
