<><><><><><><><> 
Begin: 12-Dec-2013 19:24:42 
0.584 1.036 1.036 
0.317 0.958 0.958 
0.834 0.924 0.924 
0.283 0.902 0.902 
0.435 0.647 0.647 
0.399 1.247 1.247 
0.634 1.125 1.125 
0.284 1.003 1.003 
0.533 1.235 1.235 
0.285 1.182 1.182 
0.300 1.402 1.402 
0.834 1.047 1.047 
0.434 0.913 0.913 
0.683 1.270 1.270 
0.967 1.158 1.158 
0.552 1.281 1.281 
0.752 0.745 0.745 
0.802 0.925 0.925 
0.551 0.746 0.746 
0.734 1.291 1.291 
0.284 1.181 1.181 
0.952 0.958 0.958 
0.350 1.047 1.047 
0.417 0.724 0.724 
0.834 0.746 0.746 
0.584 0.724 0.724 
0.818 1.292 1.292 
0.516 0.746 0.746 
0.418 0.735 0.735 
0.234 1.324 1.324 
0.735 0.779 0.779 
0.552 1.058 1.058 
0.567 0.668 0.668 
0.684 1.259 1.259 
0.250 0.902 0.902 
0.451 1.502 1.502 
0.819 1.203 1.203 
0.767 1.024 1.024 
0.301 0.913 0.913 
0.300 1.225 1.225 
0.284 0.991 0.991 
0.201 1.104 1.104 
0.534 2.028 2.028 
0.734 0.824 0.824 
0.785 3.901 3.901 
0.634 0.691 0.691 
0.284 0.634 0.634 
0.701 0.656 0.656 
0.300 0.679 0.679 
0.317 1.860 1.860 
0.285 1.850 1.850 
0.317 0.958 0.958 
0.334 1.227 1.227 
0.367 1.558 1.558 
0.450 1.192 1.192 
0.451 1.170 1.170 
0.384 1.081 1.081 
0.399 0.891 0.891 
0.919 0.791 0.791 
0.768 1.024 1.024 
0.652 0.757 0.757 
0.351 0.512 0.512 
0.366 0.679 0.679 
0.267 1.103 1.103 
0.934 0.935 0.935 
0.768 2.025 2.025 
0.650 0.679 0.679 
0.452 0.680 0.680 
0.334 0.758 0.758 
0.701 0.690 0.690 
1.000 0.824 0.824 
0.333 0.824 0.824 
0.401 0.812 0.812 
0.518 0.902 0.902 
0.267 0.846 0.846 
0.750 0.701 0.701 
0.517 0.746 0.746 
0.985 1.493 1.493 
0.517 1.681 1.681 
0.701 1.347 1.347 
0.333 0.991 0.991 
0.516 1.446 1.446 
0.334 1.290 1.290 
0.801 1.123 1.123 
0.902 1.024 1.024 
0.484 1.602 1.602 
0.751 0.824 0.824 
0.434 1.146 1.146 
0.633 0.902 0.902 
0.867 0.913 0.913 
0.684 0.767 0.767 
0.468 0.769 0.769 
0.449 1.125 1.125 
0.568 0.813 0.813 
0.533 0.813 0.813 
0.484 1.014 1.014 
0.652 0.914 0.914 
0.800 0.747 0.747 
0.551 0.835 0.835 
0.551 0.724 0.724 
0.300 0.824 0.824 
0.218 1.316 1.316 
0.435 1.315 1.315 
0.450 1.281 1.281 
0.718 1.235 1.235 
0.967 0.824 0.824 
0.951 0.857 0.857 
0.568 0.613 0.613 
0.400 1.993 1.993 
0.818 0.834 0.834 
0.818 0.902 0.902 
0.801 0.946 0.946 
0.801 0.857 0.857 
0.284 0.869 0.869 
0.752 0.936 0.936 
0.568 0.624 0.624 
0.368 0.947 0.947 
0.284 0.915 0.915 
0.867 0.768 0.768 
0.349 1.025 1.025 
0.335 1.025 1.025 
0.734 1.136 1.136 
0.919 1.047 1.047 
0.616 1.002 1.002 
0.769 1.058 1.058 
0.318 1.637 1.637 
0.967 0.891 0.891 
0.635 1.112 1.112 
0.752 1.438 1.438 
<><><><><><><><> 
Response (Std deviation):  1.94 
RT (mean):  0.99 
Consistency:  0.71 
<><><><><><><><> 
End: 12-Dec-2013 19:31:02 
