<><><><><><><><> 
Begin: 12-Dec-2013 19:17:37 
0.585 1.368 1.368 
0.318 0.903 0.903 
0.834 0.690 0.690 
0.284 0.735 0.735 
0.434 0.679 0.679 
0.399 0.679 0.679 
0.634 0.746 0.746 
0.284 1.159 1.159 
0.533 0.790 0.790 
0.284 0.924 0.924 
0.300 0.857 0.857 
0.833 2.496 2.496 
0.434 0.613 0.613 
0.685 0.634 0.634 
0.967 1.291 1.291 
0.552 0.690 0.690 
0.751 1.260 1.260 
0.801 0.790 0.790 
0.551 2.229 2.229 
0.734 0.813 0.813 
0.285 1.159 1.159 
0.952 0.991 0.991 
0.351 1.158 1.158 
0.418 1.403 1.403 
0.835 0.768 0.768 
0.600 2.125 2.125 
0.818 1.214 1.214 
0.517 0.868 0.868 
0.417 0.957 0.957 
0.233 0.846 0.846 
0.733 0.635 0.635 
0.551 1.480 1.480 
0.568 0.590 0.590 
0.684 0.957 0.957 
0.251 1.750 1.750 
0.450 3.999 5.999 
0.819 0.992 0.992 
0.767 0.824 0.824 
0.301 0.646 0.646 
0.301 0.758 0.758 
0.284 0.847 0.847 
0.200 0.779 0.779 
0.535 0.880 0.880 
0.733 0.735 0.735 
0.785 0.546 0.546 
0.634 0.869 0.869 
0.284 0.780 0.780 
0.701 0.780 0.780 
0.301 1.471 1.471 
0.317 1.715 1.715 
0.284 2.038 2.038 
0.318 1.148 1.148 
0.334 1.315 1.315 
0.366 1.014 1.014 
0.450 0.768 0.768 
0.450 0.880 0.880 
0.383 1.393 1.393 
0.401 0.757 0.757 
0.918 0.657 0.657 
0.767 1.625 1.625 
0.651 1.181 1.181 
0.350 0.957 0.957 
0.367 1.080 1.080 
0.266 0.846 0.846 
0.934 1.469 1.469 
0.768 1.069 1.069 
0.652 1.603 1.603 
0.451 0.823 0.823 
0.334 2.072 2.072 
0.702 1.036 1.036 
0.986 1.838 1.838 
0.333 0.768 0.768 
0.417 1.604 1.604 
0.517 0.958 0.958 
0.266 1.025 1.025 
0.751 0.791 0.791 
0.518 1.382 1.382 
0.986 1.457 1.457 
0.518 1.437 1.437 
0.700 0.924 0.924 
0.333 0.947 0.947 
0.500 0.890 0.890 
0.334 1.447 1.447 
0.801 0.768 0.768 
0.902 0.724 0.724 
0.485 1.059 1.059 
0.752 0.824 0.824 
0.434 0.735 0.735 
0.633 0.646 0.646 
0.868 0.812 0.812 
0.683 0.991 0.991 
0.467 0.746 0.746 
0.434 0.723 0.723 
0.567 0.757 0.757 
0.534 0.701 0.701 
0.485 0.646 0.646 
0.652 0.646 0.646 
0.802 1.158 1.158 
0.534 1.136 1.136 
0.551 0.702 0.702 
0.301 0.991 0.991 
0.218 1.092 1.092 
0.434 0.812 0.812 
0.451 1.313 1.313 
0.733 0.791 0.791 
0.968 0.935 0.935 
0.951 1.780 1.780 
0.567 0.903 0.903 
0.400 1.269 1.269 
0.818 0.924 0.924 
0.817 0.768 0.768 
0.801 1.124 1.124 
0.801 1.369 1.369 
0.285 0.925 0.925 
0.751 0.701 0.701 
0.567 0.691 0.691 
0.366 0.891 0.891 
0.285 1.059 1.059 
0.868 1.392 1.392 
0.349 1.024 1.024 
0.334 0.935 0.935 
0.733 1.080 1.080 
0.917 1.602 1.602 
0.617 0.847 0.847 
0.767 0.568 0.568 
0.318 0.624 0.624 
0.967 0.679 0.679 
0.634 1.012 1.012 
0.751 0.646 0.646 
<><><><><><><><> 
Response (Std deviation):  2.01 
RT (mean):  0.98 
Consistency:  0.72 
<><><><><><><><> 
End: 12-Dec-2013 19:23:59 
