<><><><><><><><> 
Begin: 14-Jan-2014 22:21:08 
0.584 0.821 0.821 
0.317 1.205 1.205 
0.833 1.676 1.676 
0.285 0.832 0.832 
0.434 0.712 0.712 
0.399 0.701 0.701 
0.634 1.018 1.018 
0.284 1.533 1.533 
0.534 1.204 1.204 
0.283 1.183 1.183 
0.299 3.242 3.242 
0.834 1.139 1.139 
0.434 1.019 1.019 
0.685 0.865 0.865 
0.969 1.040 1.040 
0.551 1.129 1.129 
0.751 1.336 1.336 
0.802 1.008 1.008 
0.552 1.237 1.237 
0.734 0.942 0.942 
0.285 1.665 1.665 
0.951 0.909 0.909 
0.351 1.216 1.216 
0.418 1.862 1.862 
0.835 1.260 1.260 
0.601 2.169 2.169 
0.819 1.041 1.041 
0.518 0.833 0.833 
0.418 1.753 1.753 
0.235 2.826 2.826 
0.734 1.741 1.741 
0.551 1.741 1.741 
0.568 1.183 1.183 
0.684 1.161 1.161 
0.250 1.128 1.128 
0.450 1.402 1.402 
0.818 1.292 1.292 
0.768 1.217 1.217 
0.301 1.479 1.479 
0.301 1.030 1.030 
0.283 1.347 1.347 
0.216 1.249 1.249 
0.534 0.800 0.800 
0.734 0.767 0.767 
0.784 0.876 0.876 
0.633 1.030 1.030 
0.283 2.651 2.651 
0.700 1.490 1.490 
0.300 1.632 1.632 
0.317 2.256 2.256 
0.284 0.997 0.997 
0.317 1.063 1.063 
0.335 0.909 0.909 
0.367 0.854 0.854 
0.451 1.040 1.040 
0.450 1.578 1.578 
0.384 1.665 1.665 
0.400 1.358 1.358 
0.918 1.862 1.862 
0.768 1.402 1.402 
0.651 0.811 0.811 
0.350 1.052 1.052 
0.367 1.084 1.084 
0.268 1.118 1.118 
0.934 1.107 1.107 
0.769 0.767 0.767 
0.651 0.767 0.767 
0.451 1.468 1.468 
0.334 0.745 0.745 
0.701 1.369 1.369 
1.001 1.391 1.391 
0.334 1.150 1.150 
0.417 1.151 1.151 
0.517 0.942 0.942 
0.267 1.237 1.237 
0.752 0.898 0.898 
0.517 1.128 1.128 
0.984 1.665 1.665 
0.517 0.909 0.909 
0.702 1.205 1.205 
0.334 0.986 0.986 
0.516 1.228 1.228 
0.334 1.424 1.424 
0.801 0.997 0.997 
0.902 1.359 1.359 
0.484 1.818 1.818 
0.751 0.909 0.909 
0.435 1.578 1.578 
0.634 1.052 1.052 
0.869 0.876 0.876 
0.685 0.887 0.887 
0.468 1.139 1.139 
0.434 0.855 0.855 
0.567 0.767 0.767 
0.533 1.226 1.226 
0.485 1.654 1.654 
0.652 1.238 1.238 
0.800 1.008 1.008 
0.551 1.183 1.183 
0.551 0.898 0.898 
0.300 1.194 1.194 
0.217 1.534 1.534 
0.434 1.599 1.599 
0.450 1.380 1.380 
0.718 1.193 1.193 
0.968 1.468 1.468 
0.952 1.971 1.971 
0.567 0.898 0.898 
0.400 0.996 0.996 
0.819 1.008 1.008 
0.818 1.468 1.468 
0.801 0.789 0.789 
0.802 0.756 0.756 
0.283 1.654 1.654 
0.751 2.136 2.136 
0.568 3.637 3.637 
0.368 1.128 1.128 
0.284 0.866 0.866 
0.868 1.194 1.194 
0.350 1.150 1.150 
0.335 1.019 1.019 
0.735 1.873 1.873 
0.919 1.830 1.830 
0.618 1.161 1.161 
0.769 1.818 1.818 
0.318 1.129 1.129 
0.968 0.745 0.745 
0.634 0.942 0.942 
0.751 0.855 0.855 
<><><><><><><><> 
Response (Std deviation):  2.09 
RT (mean):  1.21 
Consistency:  0.80 
<><><><><><><><> 
End: 14-Jan-2014 22:28:22 
