<><><><><><><><> 
Begin: 14-Jan-2014 22:10:40 
0.585 0.943 0.943 
0.317 1.457 1.457 
0.834 0.898 0.898 
0.285 1.315 1.315 
0.434 1.720 1.720 
0.400 0.866 0.866 
0.634 1.216 1.216 
0.284 1.227 1.227 
0.534 1.336 1.336 
0.283 1.884 1.884 
0.300 1.084 1.084 
0.834 0.953 0.953 
0.435 0.997 0.997 
0.683 1.655 1.655 
0.967 1.599 1.599 
0.551 0.942 0.942 
0.766 1.227 1.227 
0.817 0.756 0.756 
0.551 1.063 1.063 
0.734 0.898 0.898 
0.283 1.523 1.523 
0.951 1.216 1.216 
0.351 0.932 0.932 
0.418 1.042 1.042 
0.835 0.844 0.844 
0.601 1.589 1.589 
0.818 1.555 1.555 
0.517 1.040 1.040 
0.417 0.843 0.843 
0.233 0.964 0.964 
0.734 1.326 1.326 
0.551 1.205 1.205 
0.568 0.844 0.844 
0.685 1.588 1.588 
0.251 1.840 1.840 
0.451 0.767 0.767 
0.818 1.993 1.993 
0.766 1.194 1.194 
0.300 0.733 0.733 
0.301 0.865 0.865 
0.284 1.643 1.643 
0.217 2.891 2.891 
0.534 2.213 2.213 
0.733 0.646 0.646 
0.784 1.435 1.435 
0.634 1.381 1.381 
0.283 1.106 1.106 
0.700 2.026 2.026 
0.301 1.282 1.282 
0.317 0.734 0.734 
0.285 1.413 1.413 
0.317 0.680 0.680 
0.334 0.712 0.712 
0.366 0.756 0.756 
0.449 1.446 1.446 
0.450 1.171 1.171 
0.383 1.237 1.237 
0.400 1.610 1.610 
0.918 1.347 1.347 
0.768 1.500 1.500 
0.652 0.778 0.778 
0.350 1.741 1.741 
0.366 1.752 1.752 
0.268 1.467 1.467 
0.934 0.690 0.690 
0.768 0.800 0.800 
0.651 1.018 1.018 
0.452 1.008 1.008 
0.335 1.270 1.270 
0.701 1.063 1.063 
1.001 1.357 1.357 
0.335 1.468 1.468 
0.417 1.501 1.501 
0.518 1.359 1.359 
0.266 0.953 0.953 
0.752 2.102 2.102 
0.518 0.811 0.811 
0.986 2.038 2.038 
0.517 1.139 1.139 
0.702 1.085 1.085 
0.333 0.997 0.997 
0.501 1.238 1.238 
0.335 1.391 1.391 
0.802 1.424 1.424 
0.901 1.063 1.063 
0.484 1.150 1.150 
0.752 1.566 1.566 
0.434 2.782 2.782 
0.634 1.577 1.577 
0.869 1.872 1.872 
0.684 2.114 2.114 
0.466 1.786 1.786 
0.435 1.414 1.414 
0.567 1.456 1.456 
0.534 1.424 1.424 
0.483 1.490 1.490 
0.651 0.778 0.778 
0.802 1.577 1.577 
0.534 0.855 0.855 
0.552 1.030 1.030 
0.300 1.359 1.359 
0.218 1.589 1.589 
0.434 1.699 1.699 
0.449 1.413 1.413 
0.718 0.843 0.843 
0.968 0.953 0.953 
0.952 1.642 1.642 
0.568 1.424 1.424 
0.399 1.106 1.106 
0.818 0.723 0.723 
0.817 1.051 1.051 
0.801 1.370 1.370 
0.801 0.888 0.888 
0.285 0.679 0.679 
0.750 0.942 0.942 
0.566 2.749 2.749 
0.367 1.522 1.522 
0.283 1.248 1.248 
0.867 0.800 0.800 
0.350 2.420 2.420 
0.334 1.413 1.413 
0.735 1.479 1.479 
0.919 1.720 1.720 
0.618 1.720 1.720 
0.767 1.665 1.665 
0.318 1.501 1.501 
0.969 1.556 1.556 
0.634 0.996 0.996 
0.751 0.974 0.974 
<><><><><><><><> 
Response (Std deviation):  2.17 
RT (mean):  1.35 
Consistency:  0.84 
<><><><><><><><> 
End: 14-Jan-2014 22:18:27 
