<><><><><><><><> 
Begin: 14-Jan-2014 20:33:29 
0.449 1.093 1.093 
0.767 1.828 1.828 
0.735 1.324 1.324 
0.635 1.576 1.576 
0.767 1.707 1.707 
0.735 1.379 1.379 
0.350 1.269 1.269 
0.301 0.963 0.963 
1.001 1.160 1.160 
0.335 0.985 0.985 
0.234 1.204 1.204 
0.652 0.985 0.985 
0.901 1.094 1.094 
0.734 1.062 1.062 
0.350 0.986 0.986 
0.499 0.820 0.820 
0.567 1.301 1.301 
0.985 1.608 1.608 
0.334 0.898 0.898 
0.883 1.073 1.073 
0.718 1.039 1.039 
0.500 1.270 1.270 
0.350 1.586 1.586 
0.551 1.073 1.073 
0.583 1.029 1.029 
0.300 1.018 1.018 
0.668 1.609 1.609 
0.383 1.543 1.543 
0.517 1.631 1.631 
0.668 1.237 1.237 
0.399 1.389 1.389 
0.434 0.766 0.766 
0.702 0.963 0.963 
0.417 0.646 0.646 
0.868 1.072 1.072 
0.984 0.853 0.853 
0.785 1.356 1.356 
0.484 1.368 1.368 
0.667 1.346 1.346 
0.284 1.663 1.663 
0.933 1.521 1.521 
0.902 1.455 1.455 
0.851 0.963 0.963 
0.417 1.510 1.510 
0.684 1.062 1.062 
0.218 1.750 1.750 
0.551 1.204 1.204 
0.450 0.689 0.689 
0.334 1.061 1.061 
0.350 1.115 1.115 
0.533 1.039 1.039 
0.284 0.854 0.854 
0.683 1.390 1.390 
0.583 1.466 1.466 
0.767 1.171 1.171 
0.768 0.962 0.962 
0.718 1.117 1.117 
0.234 1.061 1.061 
0.266 1.335 1.335 
0.451 1.258 1.258 
0.633 1.542 1.542 
0.733 1.598 1.598 
0.534 1.346 1.346 
0.851 0.963 0.963 
0.783 1.346 1.346 
0.984 1.368 1.368 
0.633 2.101 2.101 
0.468 0.820 0.820 
0.283 1.499 1.499 
0.684 1.345 1.345 
0.833 0.777 0.777 
0.550 1.794 1.794 
0.268 1.313 1.313 
0.417 1.346 1.346 
0.333 1.707 1.707 
0.434 1.378 1.378 
0.552 1.685 1.685 
0.618 1.335 1.335 
0.568 1.411 1.411 
0.902 1.291 1.291 
0.616 0.941 0.941 
0.951 1.347 1.347 
0.717 1.051 1.051 
0.968 0.843 0.843 
0.401 1.455 1.455 
0.751 1.510 1.510 
0.434 1.225 1.225 
0.734 1.248 1.248 
0.751 1.400 1.400 
0.250 1.215 1.215 
0.400 1.554 1.554 
0.385 1.806 1.806 
0.735 1.225 1.225 
0.884 1.105 1.105 
0.484 1.608 1.608 
0.834 1.532 1.532 
0.750 1.412 1.412 
0.201 1.018 1.018 
0.685 1.554 1.554 
0.517 1.741 1.741 
0.935 1.302 1.302 
0.201 1.368 1.368 
0.567 1.652 1.652 
0.535 1.193 1.193 
0.567 1.007 1.007 
0.818 1.510 1.510 
0.467 1.434 1.434 
0.835 1.182 1.182 
0.584 1.707 1.707 
0.235 1.608 1.608 
0.350 1.805 1.805 
0.785 1.828 1.828 
0.583 1.116 1.116 
0.317 1.116 1.116 
0.484 1.062 1.062 
0.685 1.335 1.335 
0.351 1.335 1.335 
0.801 0.886 0.886 
0.402 1.324 1.324 
0.934 1.248 1.248 
0.417 1.258 1.258 
0.818 1.838 1.838 
0.351 1.127 1.127 
0.435 1.259 1.259 
0.284 1.280 1.280 
0.668 0.985 0.985 
0.751 1.499 1.499 
0.635 1.423 1.423 
0.550 1.214 1.214 
<><><><><><><><> 
Response (Std deviation):  2.02 
RT (mean):  1.23 
Consistency:  0.92 
<><><><><><><><> 
End: 14-Jan-2014 20:40:55 
