<><><><><><><><> 
Begin: 14-Jan-2014 20:22:22 
0.449 3.151 3.151 
0.767 1.487 1.487 
0.733 3.151 3.151 
0.633 1.685 1.685 
0.767 2.144 2.144 
0.734 1.936 1.936 
0.351 1.466 1.466 
0.301 1.674 1.674 
1.001 1.127 1.127 
0.334 1.182 1.182 
0.234 1.214 1.214 
0.651 2.287 2.287 
0.901 1.750 1.750 
0.735 1.849 1.849 
0.351 1.084 1.084 
0.501 1.236 1.236 
0.566 1.914 1.914 
0.984 2.002 2.002 
0.334 1.040 1.040 
0.885 2.069 2.069 
0.719 2.581 2.581 
0.501 1.575 1.575 
0.350 1.531 1.531 
0.550 1.597 1.597 
0.584 1.773 1.773 
0.300 1.816 1.816 
0.668 1.434 1.434 
0.385 1.280 1.280 
0.517 1.970 1.970 
0.667 1.280 1.280 
0.402 1.970 1.970 
0.435 1.641 1.641 
0.702 1.641 1.641 
0.418 2.539 2.539 
0.867 2.221 2.221 
0.984 1.062 1.062 
0.784 3.217 3.217 
0.484 1.160 1.160 
0.668 1.488 1.488 
0.284 1.204 1.204 
0.934 2.299 2.299 
0.900 2.681 2.681 
0.851 1.149 1.149 
0.417 1.794 1.794 
0.683 1.675 1.675 
0.218 1.674 1.674 
0.551 1.193 1.193 
0.450 1.324 1.324 
0.335 1.641 1.641 
0.350 1.608 1.608 
0.533 2.559 2.559 
0.284 1.641 1.641 
0.685 1.476 1.476 
0.583 1.477 1.477 
0.767 1.598 1.598 
0.767 3.150 3.150 
0.718 1.936 1.936 
0.235 1.532 1.532 
0.250 2.178 2.178 
0.450 1.531 1.531 
0.634 1.236 1.236 
0.734 2.035 2.035 
0.534 1.881 1.881 
0.867 2.178 2.178 
0.783 1.587 1.587 
0.984 1.806 1.806 
0.634 1.554 1.554 
0.467 1.269 1.269 
0.284 3.370 3.370 
0.684 1.619 1.619 
0.817 2.527 2.527 
0.534 1.498 1.498 
0.284 0.843 0.843 
0.418 1.510 1.510 
0.333 1.521 1.521 
0.434 2.735 2.735 
0.552 2.122 2.122 
0.617 1.433 1.433 
0.567 2.669 2.669 
0.902 1.422 1.422 
0.617 1.553 1.553 
0.950 1.619 1.619 
0.718 1.466 1.466 
0.968 1.335 1.335 
0.401 2.801 2.801 
0.751 3.719 3.719 
0.435 1.292 1.292 
0.734 1.991 1.991 
0.767 1.652 1.652 
0.250 2.287 2.287 
0.400 2.845 2.845 
0.384 1.586 1.586 
0.734 1.947 1.947 
0.884 2.582 2.582 
0.484 1.849 1.849 
0.833 1.564 1.564 
0.751 2.987 2.987 
0.201 3.259 3.259 
0.684 3.282 3.282 
0.517 1.291 1.291 
0.934 1.291 1.291 
0.201 3.993 4.508 
0.566 0.821 0.821 
0.535 1.586 1.586 
0.568 1.335 1.335 
0.818 1.379 1.379 
0.467 0.996 0.996 
0.833 1.707 1.707 
0.583 1.477 1.477 
0.234 1.269 1.269 
0.350 1.290 1.290 
0.784 1.772 1.772 
0.585 1.368 1.368 
0.334 1.970 1.970 
0.484 1.313 1.313 
0.684 1.751 1.751 
0.351 1.455 1.455 
0.800 1.139 1.139 
0.400 1.335 1.335 
0.935 1.455 1.455 
0.416 1.531 1.531 
0.818 1.499 1.499 
0.350 1.269 1.269 
0.435 1.105 1.105 
0.283 1.269 1.269 
0.667 1.236 1.236 
0.750 1.039 1.039 
0.635 1.412 1.412 
0.550 1.346 1.346 
<><><><><><><><> 
Response (Std deviation):  1.94 
RT (mean):  1.83 
Consistency:  0.91 
<><><><><><><><> 
End: 14-Jan-2014 20:32:15 
