<><><><><><><><> 
Begin: 29-Jan-2014 15:41:08 
0.552 1.248 1.248 
0.383 0.789 0.789 
0.267 0.722 0.722 
0.484 0.832 0.832 
0.351 1.696 1.696 
0.516 0.777 0.777 
1.001 0.547 0.547 
0.584 3.600 3.600 
0.667 1.455 1.455 
0.934 1.367 1.367 
0.399 0.711 0.711 
0.216 0.569 0.569 
0.551 0.590 0.590 
0.934 0.984 0.984 
0.300 0.963 0.963 
0.785 1.345 1.345 
0.451 1.029 1.029 
0.784 1.050 1.050 
0.902 0.974 0.974 
0.385 0.700 0.700 
0.367 0.712 0.712 
0.435 0.755 0.755 
0.500 1.587 1.587 
0.733 0.634 0.634 
0.468 0.526 0.526 
0.968 0.996 0.996 
0.601 0.744 0.744 
0.534 1.150 1.150 
0.801 0.734 0.734 
0.601 2.321 2.321 
0.885 1.467 1.467 
0.701 0.975 0.975 
0.968 0.733 0.733 
0.651 0.624 0.624 
0.852 2.954 2.954 
0.401 2.539 2.539 
0.817 1.914 1.914 
0.951 0.634 0.634 
0.267 0.689 0.689 
0.299 0.679 0.679 
0.667 0.613 0.613 
0.901 0.701 0.701 
0.651 1.029 1.029 
0.501 0.713 0.713 
0.250 0.690 0.690 
0.968 1.840 1.840 
1.000 0.569 0.569 
0.967 0.843 0.843 
0.350 0.580 0.580 
0.351 0.459 0.459 
0.767 0.842 0.842 
0.568 0.766 0.766 
0.851 0.909 0.909 
0.985 0.844 0.844 
0.952 0.612 0.612 
0.701 1.061 1.061 
0.601 0.822 0.822 
0.285 0.624 0.624 
0.767 3.273 3.273 
0.417 2.516 2.516 
0.552 2.648 2.648 
0.284 1.587 1.587 
0.717 3.349 3.349 
0.350 0.711 0.711 
0.502 1.184 1.184 
0.568 2.287 2.287 
0.484 0.613 0.613 
0.835 0.733 0.733 
0.801 1.358 1.358 
0.367 0.690 0.690 
0.683 1.807 1.807 
0.234 0.766 0.766 
0.701 3.580 3.580 
0.250 3.995 4.356 
0.467 0.657 0.657 
0.769 0.701 0.701 
1.001 0.624 0.624 
0.334 0.645 0.645 
0.818 0.811 0.811 
0.483 0.766 0.766 
0.301 0.810 0.810 
0.434 1.171 1.171 
0.852 0.744 0.744 
0.600 1.850 1.850 
0.334 0.537 0.537 
0.634 0.744 0.744 
0.267 0.733 0.733 
0.451 0.809 0.809 
0.534 0.887 0.887 
0.435 0.864 0.864 
0.768 0.952 0.952 
0.885 1.477 1.477 
0.834 1.642 1.642 
0.818 0.876 0.876 
0.885 1.324 1.324 
0.551 0.930 0.930 
0.267 1.236 1.236 
0.918 0.798 0.798 
0.268 1.007 1.007 
0.618 1.325 1.325 
0.901 0.744 0.744 
0.584 1.258 1.258 
0.918 1.205 1.205 
0.835 1.040 1.040 
0.784 1.236 1.236 
0.785 0.778 0.778 
0.334 1.369 1.369 
0.684 1.171 1.171 
0.283 1.017 1.017 
0.901 1.084 1.084 
0.317 0.678 0.678 
0.751 0.767 0.767 
0.216 0.788 0.788 
0.902 1.128 1.128 
0.433 0.821 0.821 
0.917 1.291 1.291 
0.835 0.799 0.799 
0.317 1.072 1.072 
0.552 0.722 0.722 
0.834 0.689 0.689 
0.234 0.820 0.820 
0.368 1.205 1.205 
0.567 1.018 1.018 
0.901 0.667 0.667 
0.868 0.821 0.821 
0.885 0.940 0.940 
0.984 0.722 0.722 
0.750 0.602 0.602 
0.618 1.696 1.696 
<><><><><><><><> 
Response (Std deviation):  2.80 
RT (mean):  1.18 
Consistency:  0.79 
<><><><><><><><> 
End: 29-Jan-2014 15:48:27 
