<><><><><><><><> 
Begin: 29-Jan-2014 15:49:28 
0.552 1.083 1.083 
0.385 1.193 1.193 
0.267 0.854 0.854 
0.485 1.673 1.673 
0.351 1.610 1.610 
0.518 0.876 0.876 
1.002 1.215 1.215 
0.584 2.222 2.222 
0.668 1.051 1.051 
0.936 1.893 1.893 
0.400 1.171 1.171 
0.217 1.904 1.904 
0.551 0.559 0.559 
0.933 0.668 0.668 
0.299 0.601 0.601 
0.785 0.624 0.624 
0.450 1.422 1.422 
0.785 0.591 0.591 
0.901 1.061 1.061 
0.383 2.114 2.114 
0.367 0.701 0.701 
0.450 0.810 0.810 
0.501 2.954 2.954 
0.718 0.613 0.613 
0.468 1.828 1.828 
0.968 1.861 1.861 
0.601 0.756 0.756 
0.534 0.678 0.678 
0.801 0.788 0.788 
0.602 2.549 2.549 
0.884 0.832 0.832 
0.701 0.537 0.537 
0.967 0.712 0.712 
0.651 1.719 1.719 
0.851 2.046 2.046 
0.401 0.678 0.678 
0.818 0.635 0.635 
0.951 1.017 1.017 
0.266 0.624 0.624 
0.300 0.645 0.645 
0.667 0.887 0.887 
0.901 0.646 0.646 
0.651 0.865 0.865 
0.500 0.602 0.602 
0.250 0.591 0.591 
0.968 1.040 1.040 
1.001 3.415 3.415 
0.968 0.547 0.547 
0.349 0.886 0.886 
0.349 1.138 1.138 
0.769 0.711 0.711 
0.583 1.007 1.007 
0.852 1.006 1.006 
0.984 0.777 0.777 
0.952 0.602 0.602 
0.700 0.887 0.887 
0.601 0.668 0.668 
0.284 0.591 0.591 
0.768 0.832 0.832 
0.416 0.985 0.985 
0.551 0.744 0.744 
0.284 3.273 3.273 
0.718 0.569 0.569 
0.350 0.733 0.733 
0.500 2.200 2.200 
0.567 0.767 0.767 
0.484 1.018 1.018 
0.834 0.953 0.953 
0.801 0.975 0.975 
0.368 0.975 0.975 
0.684 1.127 1.127 
0.235 2.003 2.003 
0.701 1.850 1.850 
0.251 1.128 1.128 
0.466 0.953 0.953 
0.767 0.931 0.931 
1.001 0.777 0.777 
0.335 0.646 0.646 
0.819 0.766 0.766 
0.484 0.701 0.701 
0.301 0.690 0.690 
0.435 0.636 0.636 
0.852 0.700 0.700 
0.602 1.303 1.303 
0.334 0.504 0.504 
0.634 1.018 1.018 
0.268 0.657 0.657 
0.451 0.843 0.843 
0.550 0.514 0.514 
0.434 0.755 0.755 
0.767 1.226 1.226 
0.885 0.919 0.919 
0.834 1.400 1.400 
0.819 0.733 0.733 
0.900 1.860 1.860 
0.550 1.433 1.433 
0.267 0.788 0.788 
0.917 1.784 1.784 
0.267 0.613 0.613 
0.617 1.916 1.916 
0.901 1.280 1.280 
0.585 1.291 1.291 
0.918 0.623 0.623 
0.833 0.679 0.679 
0.784 0.711 0.711 
0.785 1.620 1.620 
0.335 1.686 1.686 
0.685 0.623 0.623 
0.283 1.959 1.959 
0.902 1.466 1.466 
0.317 0.931 0.931 
0.751 1.083 1.083 
0.217 0.657 0.657 
0.900 0.657 0.657 
0.434 0.995 0.995 
0.918 0.734 0.734 
0.835 0.865 0.865 
0.316 1.598 1.598 
0.551 0.842 0.842 
0.835 0.777 0.777 
0.233 0.810 0.810 
0.368 1.072 1.072 
0.568 1.566 1.566 
0.902 0.906 0.906 
0.851 1.003 1.003 
0.885 1.499 1.499 
0.985 1.735 1.735 
0.751 0.776 0.776 
0.618 0.780 0.780 
<><><><><><><><> 
Response (Std deviation):  2.73 
RT (mean):  1.18 
Consistency:  0.77 
<><><><><><><><> 
End: 29-Jan-2014 15:56:47 
