<><><><><><><><> 
Begin: 20-Dec-2013 15:13:46 
0.584 4.005 4.232 
0.317 1.189 1.189 
0.834 3.994 4.661 
0.284 1.401 1.401 
0.434 3.994 4.606 
0.400 3.983 4.177 
0.634 1.591 1.591 
0.284 3.983 4.366 
0.534 1.446 1.446 
0.284 3.237 3.237 
0.300 3.393 3.393 
0.834 1.557 1.557 
0.435 1.802 1.802 
0.684 2.080 2.080 
0.968 2.092 2.092 
0.551 0.746 0.746 
0.751 2.036 2.036 
0.801 1.254 1.254 
0.550 3.994 5.295 
0.734 2.147 2.147 
0.284 2.312 2.312 
0.951 1.747 1.747 
0.350 1.591 1.591 
0.417 1.536 1.536 
0.834 1.012 1.012 
0.601 1.424 1.424 
0.818 2.058 2.058 
0.517 1.411 1.411 
0.417 1.947 1.947 
0.234 2.748 2.748 
0.734 2.503 2.503 
0.551 1.625 1.625 
0.567 2.714 2.714 
0.684 1.746 1.746 
0.250 3.994 4.049 
0.450 1.435 1.435 
0.818 1.579 1.579 
0.751 1.357 1.357 
0.300 1.713 1.713 
0.300 1.747 1.747 
0.284 1.224 1.224 
0.217 1.135 1.135 
0.534 1.235 1.235 
0.734 2.759 2.759 
0.784 1.302 1.302 
0.634 1.444 1.444 
0.283 0.923 0.923 
0.701 2.492 2.492 
0.300 1.013 1.013 
0.317 3.983 4.444 
0.284 1.502 1.502 
0.317 1.925 1.925 
0.334 1.057 1.057 
0.367 1.301 1.301 
0.451 1.357 1.357 
0.450 2.537 2.537 
0.384 1.790 1.790 
0.400 2.092 2.092 
0.918 1.102 1.102 
0.768 1.079 1.079 
0.651 1.045 1.045 
0.350 1.758 1.758 
0.367 1.246 1.246 
0.267 3.994 4.606 
0.934 0.189 0.189 
0.768 3.994 4.906 
0.651 1.547 1.547 
0.451 3.538 3.538 
0.334 3.994 4.860 
0.701 3.003 3.003 
1.000 1.943 1.943 
0.334 2.904 2.904 
0.401 2.991 2.991 
0.517 2.303 2.303 
0.267 1.411 1.411 
0.751 3.905 3.905 
0.517 1.891 1.891 
0.984 1.491 1.491 
0.517 2.290 2.290 
0.701 1.079 1.079 
0.333 0.946 0.946 
0.501 1.457 1.457 
0.334 1.847 1.847 
0.801 3.982 3.982 
0.901 1.191 1.191 
0.484 1.602 1.602 
0.751 2.537 2.537 
0.434 1.002 1.002 
0.634 1.235 1.235 
0.868 1.491 1.491 
0.683 2.179 2.179 
0.467 2.821 2.821 
0.434 4.005 5.211 
0.567 2.881 2.881 
0.534 1.858 1.858 
0.484 1.112 1.112 
0.652 1.046 1.046 
0.801 0.934 0.934 
0.551 1.102 1.102 
0.551 1.112 1.112 
0.300 1.435 1.435 
0.217 1.613 1.613 
0.433 0.968 0.968 
0.450 1.903 1.903 
0.718 1.143 1.143 
0.968 0.968 0.968 
0.951 1.458 1.458 
0.567 3.938 3.938 
0.400 1.024 1.024 
0.818 2.325 2.325 
0.818 1.057 1.057 
0.801 2.470 2.470 
0.801 3.694 3.694 
0.284 1.658 1.658 
0.751 0.990 0.990 
0.567 1.112 1.112 
0.367 1.224 1.224 
0.284 3.994 4.127 
0.868 3.983 4.589 
0.350 1.513 1.513 
0.334 0.802 0.802 
0.734 2.326 2.326 
0.918 2.036 2.036 
0.616 1.558 1.558 
0.768 1.547 1.547 
0.333 1.290 1.290 
0.968 1.647 1.647 
0.633 1.577 1.577 
0.751 1.445 1.445 
<><><><><><><><> 
Response (Std deviation):  1.59 
RT (mean):  2.12 
Consistency:  0.74 
<><><><><><><><> 
End: 20-Dec-2013 15:24:36 
