<><><><><><><><> 
Begin: 20-Dec-2013 15:00:48 
0.584 2.436 2.436 
0.317 1.925 1.925 
0.833 1.658 1.658 
0.284 3.994 5.996 
0.434 3.994 4.015 
0.400 2.692 2.692 
0.634 1.358 1.358 
0.284 1.692 1.692 
0.534 1.646 1.646 
0.284 1.735 1.735 
0.300 1.858 1.858 
0.834 1.491 1.491 
0.434 2.371 2.371 
0.685 2.213 2.213 
0.968 2.281 2.281 
0.551 2.358 2.358 
0.751 2.381 2.381 
0.801 1.413 1.413 
0.551 1.413 1.413 
0.734 1.469 1.469 
0.284 2.614 2.614 
0.951 1.635 1.635 
0.350 1.958 1.958 
0.417 2.715 2.715 
0.834 1.568 1.568 
0.601 1.913 1.913 
0.818 1.380 1.380 
0.517 2.303 2.303 
0.417 3.994 3.994 
0.233 1.278 1.278 
0.734 3.470 3.470 
0.551 1.901 1.901 
0.567 1.457 1.457 
0.684 4.005 4.444 
0.250 1.324 1.324 
0.451 1.124 1.124 
0.818 3.560 3.560 
0.768 2.781 2.781 
0.300 1.502 1.502 
0.300 2.949 2.949 
0.284 1.390 1.390 
0.201 2.147 2.147 
0.534 4.005 4.065 
0.734 1.892 1.892 
0.784 1.669 1.669 
0.633 2.837 2.837 
0.283 1.590 1.590 
0.701 2.581 2.581 
0.300 2.314 2.314 
0.317 2.113 2.113 
0.284 1.492 1.492 
0.317 1.702 1.702 
0.333 2.425 2.425 
0.367 2.904 2.904 
0.451 1.357 1.357 
0.450 2.525 2.525 
0.384 2.746 2.746 
0.399 3.271 3.271 
0.918 1.769 1.769 
0.768 1.891 1.891 
0.651 2.280 2.280 
0.350 2.637 2.637 
0.367 1.380 1.380 
0.267 1.947 1.947 
0.934 1.814 1.814 
0.768 2.024 2.024 
0.651 1.724 1.724 
0.451 1.969 1.969 
0.334 2.448 2.448 
0.701 1.869 1.869 
1.001 1.934 1.934 
0.334 4.005 4.165 
0.401 4.006 4.299 
0.516 3.049 3.049 
0.266 1.691 1.691 
0.750 1.447 1.447 
0.517 2.845 2.845 
0.984 1.446 1.446 
0.517 1.302 1.302 
0.701 1.135 1.135 
0.334 1.502 1.502 
0.501 1.179 1.179 
0.334 2.281 2.281 
0.801 1.356 1.356 
0.901 1.624 1.624 
0.484 1.080 1.080 
0.751 0.111 0.111 
0.434 1.057 1.057 
0.634 1.769 1.769 
0.867 3.627 3.627 
0.684 1.202 1.202 
0.467 2.770 2.770 
0.434 1.446 1.446 
0.567 2.860 2.860 
0.534 1.279 1.279 
0.484 1.102 1.102 
0.651 3.994 5.997 
0.801 3.012 3.012 
0.534 1.724 1.724 
0.551 1.447 1.447 
0.299 1.391 1.391 
0.216 1.501 1.501 
0.433 1.647 1.647 
0.450 2.170 2.170 
0.718 2.169 2.169 
0.968 2.214 2.214 
0.951 1.703 1.703 
0.567 3.949 3.949 
0.399 2.592 2.592 
0.817 2.271 2.271 
0.817 3.983 5.991 
0.801 0.033 0.033 
0.802 3.993 4.014 
0.283 1.335 1.335 
0.751 2.826 2.826 
0.566 2.282 2.282 
0.367 1.524 1.524 
0.283 2.447 2.447 
0.868 1.530 1.530 
0.350 2.436 2.436 
0.334 1.202 1.202 
0.734 2.214 2.214 
0.918 2.214 2.214 
0.617 1.190 1.190 
0.768 1.046 1.046 
0.317 1.491 1.491 
0.968 1.625 1.625 
0.634 2.492 2.492 
0.751 2.692 2.692 
<><><><><><><><> 
Response (Std deviation):  1.57 
RT (mean):  2.24 
Consistency:  0.81 
<><><><><><><><> 
End: 20-Dec-2013 15:12:24 
