<><><><><><><><> 
Begin: 14-Jan-2014 21:14:55 
0.585 1.446 1.446 
0.317 0.920 0.920 
0.833 1.510 1.510 
0.284 0.690 0.690 
0.435 1.117 1.117 
0.401 1.948 1.948 
0.634 0.789 0.789 
0.283 1.796 1.796 
0.533 1.171 1.171 
0.284 1.751 1.751 
0.300 1.260 1.260 
0.835 1.050 1.050 
0.435 1.708 1.708 
0.684 1.183 1.183 
0.968 1.850 1.850 
0.550 0.756 0.756 
0.751 0.876 0.876 
0.802 0.734 0.734 
0.552 0.679 0.679 
0.734 0.734 0.734 
0.285 0.712 0.712 
0.952 0.898 0.898 
0.349 1.040 1.040 
0.418 0.690 0.690 
0.835 0.898 0.898 
0.601 0.668 0.668 
0.819 0.623 0.623 
0.518 0.865 0.865 
0.418 1.030 1.030 
0.235 1.665 1.665 
0.734 3.240 3.240 
0.551 0.723 0.723 
0.567 0.613 0.613 
0.685 0.919 0.919 
0.249 1.062 1.062 
0.451 1.401 1.401 
0.819 0.711 0.711 
0.767 1.139 1.139 
0.300 1.478 1.478 
0.301 1.368 1.368 
0.284 1.160 1.160 
0.217 1.302 1.302 
0.535 1.281 1.281 
0.733 0.941 0.941 
0.784 1.293 1.293 
0.634 0.898 0.898 
0.284 1.467 1.467 
0.700 0.887 0.887 
0.300 0.931 0.931 
0.317 1.292 1.292 
0.285 1.160 1.160 
0.318 0.843 0.843 
0.335 1.610 1.610 
0.366 0.887 0.887 
0.451 0.689 0.689 
0.451 0.744 0.744 
0.384 1.248 1.248 
0.400 0.811 0.811 
0.919 1.117 1.117 
0.768 0.974 0.974 
0.650 0.854 0.854 
0.350 2.003 2.003 
0.367 0.855 0.855 
0.266 1.105 1.105 
0.933 1.127 1.127 
0.768 0.876 0.876 
0.650 1.018 1.018 
0.450 1.149 1.149 
0.333 1.193 1.193 
0.700 0.799 0.799 
1.001 0.723 0.723 
0.334 1.335 1.335 
0.417 1.304 1.304 
0.517 1.193 1.193 
0.267 1.838 1.838 
0.750 1.313 1.313 
0.517 0.624 0.624 
0.984 1.544 1.544 
0.518 1.150 1.150 
0.702 0.821 0.821 
0.333 0.745 0.745 
0.500 0.865 0.865 
0.335 0.799 0.799 
0.818 0.646 0.646 
0.900 0.788 0.788 
0.483 0.810 0.810 
0.750 0.799 0.799 
0.434 1.871 1.871 
0.633 0.996 0.996 
0.867 1.555 1.555 
0.685 1.598 1.598 
0.468 1.062 1.062 
0.449 1.117 1.117 
0.567 1.970 1.970 
0.533 0.711 0.711 
0.484 1.094 1.094 
0.652 1.248 1.248 
0.801 1.128 1.128 
0.550 0.865 0.865 
0.551 0.865 0.865 
0.299 0.843 0.843 
0.218 0.613 0.613 
0.434 0.602 0.602 
0.452 1.467 1.467 
0.718 1.029 1.029 
0.967 0.810 0.810 
0.951 1.149 1.149 
0.567 0.702 0.702 
0.399 0.832 0.832 
0.818 1.018 1.018 
0.817 1.324 1.324 
0.801 0.866 0.866 
0.802 1.172 1.172 
0.285 0.767 0.767 
0.752 1.380 1.380 
0.567 1.073 1.073 
0.367 0.986 0.986 
0.284 0.832 0.832 
0.868 0.964 0.964 
0.350 1.248 1.248 
0.334 0.908 0.908 
0.735 0.942 0.942 
0.918 1.172 1.172 
0.616 0.690 0.690 
0.769 0.942 0.942 
0.333 0.953 0.953 
0.969 0.788 0.788 
0.633 0.701 0.701 
0.752 0.678 0.678 
<><><><><><><><> 
Response (Std deviation):  2.09 
RT (mean):  1.09 
Consistency:  0.85 
<><><><><><><><> 
End: 14-Jan-2014 21:21:40 
