<><><><><><><><> 
Begin: 14-Jan-2014 21:22:51 
0.585 0.810 0.810 
0.317 0.800 0.800 
0.834 1.347 1.347 
0.283 1.796 1.796 
0.434 0.832 0.832 
0.399 1.139 1.139 
0.634 0.789 0.789 
0.284 0.985 0.985 
0.534 1.214 1.214 
0.284 1.204 1.204 
0.300 0.723 0.723 
0.834 1.544 1.544 
0.434 1.905 1.905 
0.683 1.095 1.095 
0.968 1.225 1.225 
0.552 0.678 0.678 
0.751 0.755 0.755 
0.801 0.700 0.700 
0.552 0.733 0.733 
0.734 0.591 0.591 
0.283 0.678 0.678 
0.951 1.063 1.063 
0.351 0.723 0.723 
0.418 0.865 0.865 
0.835 0.963 0.963 
0.600 1.248 1.248 
0.819 1.587 1.587 
0.516 1.303 1.303 
0.417 0.788 0.788 
0.234 0.514 0.514 
0.734 0.831 0.831 
0.551 0.733 0.733 
0.568 0.865 0.865 
0.684 1.248 1.248 
0.251 1.062 1.062 
0.450 1.029 1.029 
0.819 0.777 0.777 
0.767 1.281 1.281 
0.300 1.707 1.707 
0.301 1.774 1.774 
0.284 0.975 0.975 
0.217 2.025 2.025 
0.534 0.931 0.931 
0.734 0.843 0.843 
0.784 0.777 0.777 
0.634 1.182 1.182 
0.284 1.193 1.193 
0.701 0.843 0.843 
0.299 1.171 1.171 
0.316 1.018 1.018 
0.284 0.788 0.788 
0.317 0.799 0.799 
0.335 0.876 0.876 
0.366 0.931 0.931 
0.452 0.526 0.526 
0.452 0.942 0.942 
0.383 0.843 0.843 
0.400 1.259 1.259 
0.919 1.194 1.194 
0.769 0.711 0.711 
0.651 0.952 0.952 
0.350 1.368 1.368 
0.367 0.755 0.755 
0.267 0.723 0.723 
0.935 0.580 0.580 
0.768 0.854 0.854 
0.651 0.952 0.952 
0.451 1.018 1.018 
0.334 0.799 0.799 
0.701 1.204 1.204 
1.001 0.755 0.755 
0.335 0.613 0.613 
0.417 1.030 1.030 
0.517 0.744 0.744 
0.267 0.887 0.887 
0.751 1.423 1.423 
0.517 0.931 0.931 
0.983 0.854 0.854 
0.517 0.570 0.570 
0.701 0.788 0.788 
0.334 1.139 1.139 
0.501 0.920 0.920 
0.333 0.985 0.985 
0.816 0.854 0.854 
0.902 0.941 0.941 
0.485 0.799 0.799 
0.752 0.723 0.723 
0.434 0.887 0.887 
0.634 0.701 0.701 
0.869 0.471 0.471 
0.683 0.843 0.843 
0.468 1.084 1.084 
0.435 0.767 0.767 
0.568 0.909 0.909 
0.533 0.843 0.843 
0.484 0.624 0.624 
0.652 0.766 0.766 
0.802 0.690 0.690 
0.550 0.919 0.919 
0.552 0.942 0.942 
0.301 1.095 1.095 
0.218 1.116 1.116 
0.435 1.215 1.215 
0.450 1.106 1.106 
0.733 0.898 0.898 
0.969 1.401 1.401 
0.951 1.247 1.247 
0.568 1.138 1.138 
0.400 0.975 0.975 
0.818 0.832 0.832 
0.818 0.909 0.909 
0.801 0.898 0.898 
0.800 0.634 0.634 
0.285 0.744 0.744 
0.750 0.854 0.854 
0.567 0.657 0.657 
0.368 0.701 0.701 
0.284 1.314 1.314 
0.868 0.789 0.789 
0.349 0.788 0.788 
0.334 0.778 0.778 
0.734 1.029 1.029 
0.918 0.657 0.657 
0.618 0.963 0.963 
0.766 0.974 0.974 
0.333 1.007 1.007 
0.969 0.767 0.767 
0.635 0.919 0.919 
0.751 1.072 1.072 
<><><><><><><><> 
Response (Std deviation):  2.17 
RT (mean):  0.95 
Consistency:  0.85 
<><><><><><><><> 
End: 14-Jan-2014 21:29:01 
